target_id	test_stat	pval	qval	rss	sigma_sq	tech_var	mean_obs	var_obs	sigma_sq_pmax	smooth_sigma_sq	final_sigma_sq	degrees_free	
1	gene-A1S_0112	14.42636798	0.000145747	0.020871595	26.42152894	8.801474084	0.005702228	1.876534853	8.807176312	8.801474084	0.68978147	8.801474084	1
2	gene-A1S_0113	15.06148665	0.000104065	0.020871595	27.743535	9.245261915	0.002583085	1.938850485	9.247845	9.245261915	0.620207771	9.245261915	1
3	gene-A1S_0155	14.50416266	0.00013985	0.020871595	2.825680097	0.913241792	0.028651574	4.849451075	0.941893366	0.913241792	0.136624856	0.913241792	1
4	gene-A1S_0292	16.40946121	5.10E-05	0.020871595	7.542948052	2.509262404	0.005053613	5.830339598	2.514316017	2.509262404	0.123932207	2.509262404	1
5	gene-A1S_0570	15.42893766	8.57E-05	0.020871595	4.60841483	1.513908229	0.022230048	4.069694445	1.536138277	1.513908229	0.162534131	1.513908229	1
6	gene-A1S_1631	14.36271786	0.000150758	0.020871595	3.446916052	1.126411791	0.022560226	4.001992158	1.148972017	1.126411791	0.165574451	1.126411791	1
7	gene-A1S_1925	15.681392	7.50E-05	0.020871595	2.759162943	0.910875838	0.008845143	4.922592043	0.919720981	0.910875838	0.134980619	0.910875838	1
8	gene-A1S_1926	18.17159552	2.02E-05	0.020871595	10.24521909	3.383815146	0.031257884	4.203578023	3.415073031	3.383815146	0.1568883	3.383815146	1
9	gene-A1S_2164	15.16156538	9.87E-05	0.020871595	1.577494575	0.519435787	0.006395738	5.309742207	0.525831525	0.519435787	0.128224504	0.519435787	1
10	gene-A1S_0004	13.00893557	0.000310008	0.022237365	1.970642633	0.636412076	0.020468802	4.404543188	0.656880878	0.636412076	0.149402882	0.636412076	1
11	gene-A1S_0683	12.84107338	0.000339093	0.022237365	4.372730176	1.409264749	0.048311976	3.501962529	1.457576725	1.409264749	0.183467324	1.409264749	1
12	gene-A1S_0884	13.03302508	0.000306046	0.022237365	2.036406341	0.656670815	0.022131299	4.661305487	0.678802114	0.656670815	0.141428334	0.656670815	1
13	gene-A1S_1336	13.15938369	0.000286083	0.022237365	1.770669596	0.57831975	0.011903449	4.643934927	0.590223199	0.57831975	0.14191485	0.57831975	1
14	gene-A1S_1571	12.86871111	0.000334122	0.022237365	3.767120684	1.223252992	0.032453903	3.768533448	1.255706895	1.223252992	0.174151495	1.223252992	1
15	gene-A1S_1924	13.02412848	0.000307503	0.022237365	2.442977449	0.802054716	0.0122711	4.62801777	0.814325816	0.802054716	0.142367217	0.802054716	1
16	gene-A1S_2072	13.03632547	0.000305507	0.022237365	2.129979442	0.689336031	0.020657116	4.268645828	0.709993147	0.689336031	0.154338485	0.689336031	1
17	gene-A1S_3074	12.94647563	0.000320524	0.022237365	4.109306137	1.323420993	0.046347719	4.180858334	1.369768712	1.323420993	0.157808023	1.323420993	1
18	gene-A1S_3113	13.80995546	0.000202262	0.022237365	10.41574269	3.461378029	0.010536199	5.572529867	3.471914228	3.461378029	0.125396799	3.461378029	1
19	id-A1S_r08	13.34158927	0.000259584	0.022237365	6.042202159	1.990490466	0.023576921	8.035815855	2.014067386	1.990490466	0.168765026	1.990490466	1
20	gene-A1S_2183	12.56392779	0.000393264	0.022273061	11.09072892	3.654066084	0.042843557	4.525519137	3.696909641	3.654066084	0.145433089	3.654066084	1
21	gene-A1S_2452	12.70614431	0.000364456	0.022273061	2.226907312	0.716940796	0.025361641	4.000748061	0.742302437	0.716940796	0.16562894	0.716940796	1
22	gene-A1S_3075	12.60863927	0.000383968	0.022273061	1.431312375	0.461530738	0.015573387	4.824247756	0.477104125	0.461530738	0.137219843	0.461530738	1
23	gene-A1S_0116	12.34770206	0.00044153	0.023919387	31.29527779	10.18244164	0.249317621	2.826426153	10.43175926	10.18244164	0.216795041	10.18244164	1
24	gene-A1S_0445	11.93397055	0.000551196	0.025436664	4.055195253	1.301585378	0.050146373	3.649012621	1.351731751	1.301585378	0.178038654	1.301585378	1
25	gene-A1S_1104	11.96082128	0.000543309	0.025436664	19.69223653	6.524058651	0.040020192	1.760719624	6.564078844	6.524058651	0.811618246	6.524058651	1
26	gene-A1S_2881	12.02562317	0.000524742	0.025436664	1.66054896	0.5377647	0.01575162	4.480260269	0.55351632	0.5377647	0.14687285	0.5377647	1
27	gene-A1S_3065	12.0871103	0.000507716	0.025436664	2.914650863	0.920623891	0.050926397	4.028871811	0.971550288	0.920623891	0.164366468	0.920623891	1
28	gene-A1S_3405	11.78312867	0.000597699	0.026597626	2.861060028	0.914869095	0.038817581	4.345511799	0.953686676	0.914869095	0.151483366	0.914869095	1
29	gene-A1S_0154	11.57790988	0.000667399	0.027456378	3.204530742	1.017352272	0.050824642	4.055221501	1.068176914	1.017352272	0.163177691	1.017352272	1
30	gene-A1S_0661	11.63721957	0.000646452	0.027456378	5.75133783	1.882701648	0.034410962	3.550808586	1.91711261	1.882701648	0.181521589	1.882701648	1
31	gene-A1S_2719	11.53466431	0.000683104	0.027456378	3.53738851	1.1219335	0.057196003	3.901940988	1.179129503	1.1219335	0.169590098	1.1219335	1
32	gene-A1S_1335	11.42711142	0.000723801	0.028183011	1.624722336	0.523892947	0.017681165	4.376415432	0.541574112	0.523892947	0.150382236	0.523892947	1
33	gene-A1S_0115	11.08925403	0.000868294	0.028206957	10.22647292	3.279772812	0.129051496	4.152730496	3.408824308	3.279772812	0.158968126	3.279772812	1
34	gene-A1S_0675	10.6903415	0.001076963	0.028206957	5.512840471	1.826806609	0.010806881	4.770119793	1.83761349	1.826806609	0.138547717	1.826806609	1
35	gene-A1S_0762	10.49063021	0.001199814	0.028206957	1.854470507	0.573035547	0.045121289	3.991903519	0.618156836	0.573035547	0.166012622	0.573035547	1
36	gene-A1S_0801	10.49158856	0.001199192	0.028206957	15.54318681	5.141409101	0.039653168	1.859356372	5.181062269	5.141409101	0.707548378	5.141409101	1
37	gene-A1S_1141	11.05477012	0.000884593	0.028206957	3.367439597	1.056259402	0.066220463	3.187733778	1.122479866	1.056259402	0.199231758	1.056259402	1
38	gene-A1S_1687	10.78087147	0.001025544	0.028206957	44.35205078	14.77223285	0.01178408	3.669529783	14.78401693	14.77223285	0.177358188	14.77223285	1
39	gene-A1S_2635	11.01350088	0.000904506	0.028206957	1.038467876	0.332361528	0.01379443	4.678242514	0.346155959	0.332361528	0.140961109	0.332361528	1
40	gene-A1S_2718	10.97947118	0.000921267	0.028206957	4.669250707	1.453668148	0.102748754	3.933810353	1.556416902	1.453668148	0.168384531	1.453668148	1
41	gene-A1S_3056	10.64608192	0.001103043	0.028206957	1.505132767	0.478697915	0.023013007	4.613584822	0.501710922	0.478697915	0.142782859	0.478697915	1
42	gene-A1S_3171	10.77334518	0.001029722	0.028206957	3.789787415	1.213779793	0.049482678	3.571462406	1.263262472	1.213779793	0.180748467	1.213779793	1
43	gene-A1S_3288	10.61304872	0.001122924	0.028206957	2.614011008	0.817260476	0.054076527	3.496515165	0.871337003	0.817260476	0.183695961	0.817260476	1
44	gene-A1S_3297	10.96836621	0.000926804	0.028206957	2.567179056	0.81025133	0.045475022	4.23348129	0.855726352	0.81025133	0.155701097	0.81025133	1
45	id-A1S_r01	10.55298117	0.001160008	0.028206957	5.484658012	1.828217916	1.42E-06	11.62943643	1.828219337	1.828217916	0.876759517	1.828217916	1
46	id-A1S_r02	10.88571774	0.000969086	0.028206957	3.963072714	1.321023458	7.80E-07	12.34664409	1.321024238	1.321023458	1.317113627	1.321023458	1
47	id-A1S_r05	10.88571774	0.000969086	0.028206957	3.963072714	1.321023458	7.80E-07	12.34664409	1.321024238	1.321023458	1.317113627	1.321023458	1
48	id-A1S_r06	10.55298117	0.001160008	0.028206957	5.484658012	1.828217916	1.42E-06	11.62943643	1.828219337	1.828217916	0.876759517	1.828217916	1
49	id-A1S_r09	10.55298117	0.001160008	0.028206957	5.484658012	1.828217916	1.42E-06	11.62943643	1.828219337	1.828217916	0.876759517	1.828217916	1
50	id-A1S_r11	10.88571774	0.000969086	0.028206957	3.963072714	1.321023458	7.80E-07	12.34664409	1.321024238	1.321023458	1.317113627	1.321023458	1
51	id-A1S_r12	10.55298117	0.001160008	0.028206957	5.484658012	1.828217916	1.42E-06	11.62943643	1.828219337	1.828217916	0.876759517	1.828217916	1
52	id-A1S_r14	10.88571774	0.000969086	0.028206957	3.963072714	1.321023458	7.80E-07	12.34664409	1.321024238	1.321023458	1.317113627	1.321023458	1
53	id-A1S_r15	10.55298117	0.001160008	0.028206957	5.484658012	1.828217916	1.42E-06	11.62943643	1.828219337	1.828217916	0.876759517	1.828217916	1
54	gene-A1S_2218	10.43380146	0.001237298	0.028549509	26.01562146	8.376214256	0.295659564	2.663976438	8.67187382	8.376214256	0.238586067	8.376214256	1
55	gene-A1S_2126	10.36423737	0.0012848	0.029106552	1.697408688	0.538220762	0.027582134	4.022098483	0.565802896	0.538220762	0.164675525	0.538220762	1
56	gene-A1S_0153	10.25347583	0.001364273	0.030009931	1.868597435	0.609331283	0.013534529	5.075131509	0.622865812	0.609331283	0.131935894	0.609331283	1
57	gene-A1S_2093	10.24192031	0.001372846	0.030009931	18.69349595	6.204856088	0.02630923	2.182200949	6.231165318	6.204856088	0.376592789	6.204856088	1
58	gene-A1S_2840	10.07435765	0.00150347	0.030949545	0.047819425	0.014880794	0.001059014	7.300790298	0.015939808	0.014880794	0.140739127	0.140739127	1
59	gene-A1S_3057	10.1392848	0.001451425	0.030949545	0.810332481	0.255123278	0.014987549	4.78489802	0.270110827	0.255123278	0.138178349	0.255123278	1
60	gene-A1S_3343	10.06005576	0.001515186	0.030949545	1.331989069	0.414519003	0.029477353	3.966981593	0.443996356	0.414519003	0.167060358	0.414519003	1
61	gene-A1S_3407	10.11475649	0.001470869	0.030949545	1.060658453	0.346614392	0.006938426	5.813878113	0.353552818	0.346614392	0.123987644	0.346614392	1
62	gene-A1S_0011	10.0225975	0.001546312	0.031075892	5.607941211	1.74953056	0.119783177	3.099124785	1.869313737	1.74953056	0.201923564	1.74953056	1
63	gene-A1S_2753	9.987069221	0.001576433	0.031178343	1.704359375	0.528064944	0.040054848	4.046005545	0.568119792	0.528064944	0.163590953	0.528064944	1
64	gene-A1S_2496	9.95633835	0.001602966	0.031207735	19.69181498	6.531993861	0.031944465	2.231631983	6.563938326	6.531993861	0.345936129	6.531993861	1
65	gene-A1S_3077	9.884171885	0.001667065	0.031956361	0.82113358	0.264103869	0.009607324	5.397322309	0.273711193	0.264103869	0.127129349	0.264103869	1
66	gene-A1S_2835	9.798463006	0.001746578	0.032481135	1.032978541	0.321987117	0.022339063	4.037598198	0.34432618	0.321987117	0.163970316	0.321987117	1
67	gene-A1S_3058	9.802981209	0.001742292	0.032481135	1.892291347	0.594111437	0.036652346	4.226695265	0.630763782	0.594111437	0.155968203	0.594111437	1
68	gene-A1S_0151	9.697615777	0.001845072	0.03331494	2.677122781	0.79806423	0.094310031	3.926105965	0.89237426	0.79806423	0.168681585	0.79806423	1
69	gene-A1S_0285	9.715292874	0.00182741	0.03331494	5.722260506	1.655123465	0.252296703	3.513563655	1.907420169	1.655123465	0.18298867	1.655123465	1
70	gene-A1S_0869	9.671361285	0.001871626	0.03331494	0.693642439	0.204497922	0.026716224	6.147760177	0.231214146	0.204497922	0.123872223	0.204497922	1
71	gene-A1S_2098	9.620778215	0.001923882	0.033762773	16.04743359	5.103405081	0.245739448	2.010106117	5.349144529	5.103405081	0.538332835	5.103405081	1
72	gene-A1S_0670	9.542972943	0.002007164	0.034321663	6.485879333	2.120292665	0.041667112	3.555907307	2.161959778	2.120292665	0.181328263	2.120292665	1
73	gene-A1S_0814	9.539632745	0.00201082	0.034321663	2.417840635	0.757172661	0.048774217	3.513515307	0.805946878	0.757172661	0.182990642	0.757172661	1
74	gene-A1S_2659	9.415218059	0.00215192	0.036233675	3.057887652	0.980683489	0.038612395	3.139128603	1.019295884	0.980683489	0.20076439	0.980683489	1
75	gene-A1S_2960	9.368682082	0.002207242	0.036669641	0.48349876	0.152735902	0.008430352	5.230690606	0.161166253	0.152735902	0.12934696	0.152735902	1
76	gene-A1S_0297	9.211273808	0.002405293	0.03892201	13.928568	4.622867064	0.019988937	1.162830318	4.642856001	4.622867064	1.564921413	4.622867064	1
77	gene-A1S_1637	9.233903076	0.002375747	0.03892201	1.672425883	0.521664205	0.03581109	4.102623103	0.557475294	0.521664205	0.161094449	0.521664205	1
78	gene-A1S_2186	9.095993667	0.0025617	0.039405904	1.694672927	0.517615441	0.047275535	3.325642938	0.564890976	0.517615441	0.192514247	0.517615441	1
79	gene-A1S_2696	9.156157185	0.002478826	0.039405904	2.906419772	0.967443448	0.001363143	6.695379298	0.968806591	0.967443448	0.128361347	0.967443448	1
