target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	
1	gene-A1S_1926	1.12E-35	1.40E-32	3.194294386	0.2562091	4.203578023	3.415073031	0.031257884	-0.01040665	0.034385219	0.034385219
2	gene-A1S_0292	3.76E-32	2.35E-29	2.726938374	0.231035882	5.830339598	2.514316017	0.005053613	0.048323965	0.013578522	0.048323965
3	gene-A1S_1925	1.87E-21	7.80E-19	1.652077852	0.173686608	4.922592043	0.919720981	0.008845143	0.006055713	0.021321895	0.021321895
4	gene-A1S_0570	2.73E-18	8.52E-16	2.139263471	0.245267546	4.069694445	1.536138277	0.022230048	-0.006246732	0.037926122	0.037926122
5	gene-A1S_3113	2.40E-17	6.01E-15	3.183300256	0.375727405	5.572529867	3.471914228	0.010536199	0.130634883	0.015126225	0.130634883
6	gene-A1S_2164	3.22E-16	6.71E-14	1.253560727	0.153535516	5.309742207	0.525831525	0.006395738	-0.003355699	0.017177416	0.017177416
7	id-A1S_r08	1.50E-15	2.68E-13	2.420344726	0.303425086	8.035815855	2.014067386	0.023576921	0.068489862	0.01160308	0.068489862
8	gene-A1S_0113	2.96E-15	4.63E-13	-5.263995332	0.666968151	1.938850485	9.247845	0.002583085	0.01436099	0.44226343	0.44226343
9	gene-A1S_1924	1.91E-14	2.65E-12	1.537003352	0.200746287	4.62801777	0.814325816	0.0122711	0.028027971	0.025653367	0.028027971
10	gene-A1S_0155	1.03E-13	1.29E-11	-1.678477781	0.225700691	4.849451075	0.941893366	0.028651574	-0.024455356	0.022289228	0.022289228
11	gene-A1S_1631	1.26E-13	1.43E-11	1.851765318	0.249899296	4.001992158	1.148972017	0.022560226	-0.013619597	0.039889432	0.039889432
12	gene-A1S_0112	4.51E-13	4.69E-11	-5.139364067	0.709913365	1.876534853	8.807176312	0.005702228	-0.001469265	0.498274758	0.498274758
13	gene-A1S_2183	5.46E-13	5.24E-11	3.268059325	0.453054725	4.525519137	3.696909641	0.042843557	0.162415027	0.027460239	0.162415027
