target_id	length	eff_length	est_counts	tpm
gene-A1S_0001	1197	1025.98	1	2.6723
gene-A1S_0002	918	746.98	8	29.3634
gene-A1S_0003	843	671.98	0	0
gene-A1S_0004	2355	2183.98	27	33.8953
gene-A1S_0005	303	132.052	0	0
gene-A1S_0006	435	263.98	1	10.3861
gene-A1S_0007	1869	1697.98	0	0
gene-A1S_0008	888	716.98	0	0
gene-A1S_0009	987	815.98	26	87.3612
gene-A1S_0010	975	803.98	0	0
gene-A1S_0011	252	83.8604	3	98.082
gene-A1S_0012	759	587.98	0	0
gene-A1S_0013	993	821.98	18	60.0394
gene-A1S_0014	975	803.98	4	13.6408
gene-A1S_0015	1416	1244.98	17	37.4379
gene-A1S_0016	933	761.98	0	0
gene-A1S_0017	543	371.98	5	36.8532
gene-A1S_0018	510	338.98	0	0
gene-A1S_0019	447	275.98	2	19.869
gene-A1S_0020	2763	2591.98	19	20.0977
gene-A1S_0023	1056	884.98	0	0
gene-A1S_0024	567	395.98	0	0
gene-A1S_0025	495	323.98	7	59.2386
gene-A1S_0026	723	551.98	0	0
gene-A1S_0027	537	365.98	0	0
gene-A1S_0028	1089	917.98	0	0
gene-A1S_0029	867	695.98	0	0
gene-A1S_0030	903	731.98	0	0
gene-A1S_0031	1245	1073.98	2	5.10574
gene-A1S_0032	288	117.34	10	233.656
gene-A1S_0033	444	272.98	5	50.2185
gene-A1S_0034	618	446.98	11	67.4729
gene-A1S_0035	624	452.98	4	24.2106
gene-A1S_0036	513	341.98	1	8.01722
gene-A1S_0037	558	386.98	13	92.1042
gene-A1S_0038	540	368.98	0	0
gene-A1S_0039	477	305.98	0	0
gene-A1S_0040	888	716.98	2	7.648
gene-A1S_0041	1071	899.98	4	12.1857
gene-A1S_0042	525	353.98	2	15.4909
gene-A1S_0043	1935	1763.98	2	3.10857
gene-A1S_0044	753	581.98	1	4.71104
gene-A1S_0045	465	293.98	0	0
gene-A1S_0046	1260	1088.98	0	0
gene-A1S_0047	576	404.98	2	13.5401
gene-A1S_0048	735	563.98	16	77.7823
gene-A1S_0049	1965	1793.98	1	1.5283
gene-A1S_0050	375	203.98	0	0
gene-A1S_0051	1101	929.98	6	17.689
gene-A1S_0052	1038	866.98	17	53.7607
gene-A1S_0053	858	686.98	5	19.955
gene-A1S_0054	579	407.98	0	0
gene-A1S_0055	879	707.98	11	42.5987
gene-A1S_0056	1317	1145.98	1	2.39248
gene-A1S_0057	420	248.98	1	11.0118
gene-A1S_0058	921	749.98	3	10.9672
gene-A1S_0059	957	785.98	5	17.4415
gene-A1S_0060	768	596.98	0	0
gene-A1S_0061	468	296.98	0	0
gene-A1S_0062	798	626.98	28	122.442
gene-A1S_0063	678	506.98	2	10.8159
gene-A1S_0064	1374	1202.98	4	9.11646
gene-A1S_0065	852	680.98	11	44.2877
gene-A1S_0066	1152	980.98	10	27.9489
gene-A1S_0067	1668	1496.98	24	43.9562
gene-A1S_0068	696	524.98	3	15.6676
gene-A1S_0069	990	818.98	7	23.4342
gene-A1S_0070	1497	1325.98	14	28.9478
gene-A1S_0071	1215	1043.98	37	97.1705
gene-A1S_0072	486	314.98	2	17.4089
gene-A1S_0073	822	650.98	29	122.139
gene-A1S_0076	2607	2435.98	47	52.8992
gene-A1S_0077	2469	2297.98	4	4.77242
gene-A1S_0078	225	60.7152	4	180.629
gene-A1S_0079	420	248.98	0	0
gene-A1S_0080	1203	1031.98	1	2.65677
gene-A1S_0081	552	380.98	0	0
gene-A1S_0086	747	575.98	0	0
gene-A1S_0087	609	437.98	31	194.058
gene-A1S_0088	702	530.98	0	0
gene-A1S_0089	555	383.98	0	0
gene-A1S_0090	318	146.98	6	111.923
gene-A1S_0091	381	209.98	0	0
gene-A1S_0092	1890	1718.98	0	0
gene-A1S_0093	1077	905.98	0	0
gene-A1S_0094	318	146.98	0	0
gene-A1S_0095	1065	893.98	91	279.086
gene-A1S_0096	1032	860.98	31	98.7173
gene-A1S_0097	360	188.98	3	43.5241
gene-A1S_0098	1323	1151.98	2	4.76003
gene-A1S_0099	1314	1142.98	20	47.9751
gene-A1S_0100	882	710.98	0	0
